"neighbourhood_name","species_name","range_trees","mean_trees","total_trees","unique_cultivars"
"ARBUTUS-RIDGE","ABIES",1,265595.5,4,1
"ARBUTUS-RIDGE","ACERIFOLIA   X",179879,81105.2427184466,10609,2
"ARBUTUS-RIDGE","ACUTISSIMA",41489,133679.6,25,1
"ARBUTUS-RIDGE","ALNIFOLIA",229993,174484.0625,256,2
"ARBUTUS-RIDGE","AMERICANA",254815,115012.457777778,50625,4
"ARBUTUS-RIDGE","AQUIFOLIUM",95635,69184.6666666667,9,1
"ARBUTUS-RIDGE","ARIA",108901,224187.473684211,361,2
"ARBUTUS-RIDGE","ARNOLDIANA X",61233,213387,16,1
"ARBUTUS-RIDGE","AUCUPARIA",160907,121184.9375,256,3
"ARBUTUS-RIDGE","AVIUM",94891,44943.6,225,1
"ARBUTUS-RIDGE","BABYLONICA",207380,160404,4,1
"ARBUTUS-RIDGE","BANKSIANA",0,87952,1,1
"ARBUTUS-RIDGE","BETULUS",233569,197520.459259259,18225,4
"ARBUTUS-RIDGE","BIGNONIOIDES",14819,171202.5,4,1
"ARBUTUS-RIDGE","BILOBA",157218,138590.6,25,1
"ARBUTUS-RIDGE","BLIREANA",103,34513.5,4,1
"ARBUTUS-RIDGE","CALLERYANA",211642,156209.081632653,9604,4
"ARBUTUS-RIDGE","CAMPESTRE",257108,179628.575,14400,4
"ARBUTUS-RIDGE","CANADENSIS",136725,166477.090909091,121,1
"ARBUTUS-RIDGE","CAPPADOCICUM",223010,184413.625,64,3
"ARBUTUS-RIDGE","CARNEA   X",125202,191580,9,1
"ARBUTUS-RIDGE","CAROLINIANA",114297,241740.142857143,196,1
"ARBUTUS-RIDGE","CERASIFERA",248528,98334.12849162,801025,3
"ARBUTUS-RIDGE","CINEREA",138608,139075.846153846,169,1
"ARBUTUS-RIDGE","CIRCINATUM",0,189179,1,1
"ARBUTUS-RIDGE","COCCINEA",30525,215456.5,4,1
"ARBUTUS-RIDGE","CONTORTA",0,87909,1,1
"ARBUTUS-RIDGE","CONTROVERSA",247349,101841.833333333,144,1
"ARBUTUS-RIDGE","CORDATA",225154,126993.340425532,2209,2
"ARBUTUS-RIDGE","CRUS-GALLI",4073,165956.105263158,361,1
"ARBUTUS-RIDGE","DAWSONIANA",0,187741,1,1
"ARBUTUS-RIDGE","DECURRENS",0,204233,1,1
"ARBUTUS-RIDGE","DEODARA",225122,184354.2,100,1
"ARBUTUS-RIDGE","DOUGLASII",182448,125969.217391304,529,1
"ARBUTUS-RIDGE","EUCHLORA   X",182769,98206.3636363636,3025,1
"ARBUTUS-RIDGE","EXCELSIOR",241010,79788.8888888889,2025,2
"ARBUTUS-RIDGE","FLAVA",2,87886,4,1
"ARBUTUS-RIDGE","FLORIBUNDA",238054,99410.75,4624,1
"ARBUTUS-RIDGE","FLORIDA",135008,173048.666666667,9,2
"ARBUTUS-RIDGE","FREEMANI   X",223574,181481.413793103,841,3
"ARBUTUS-RIDGE","GERMANICA",34,203224.5,36,1
"ARBUTUS-RIDGE","GIGANTEUM",114842,149218.666666667,225,1
"ARBUTUS-RIDGE","GINNALA",17828,223277.2,25,1
"ARBUTUS-RIDGE","GLAUCA",0,202272,1,1
"ARBUTUS-RIDGE","GLYPTOSTROBOIDES",250838,159751.125,7744,1
"ARBUTUS-RIDGE","GRANDIFLORA",76019,230985,9,2
"ARBUTUS-RIDGE","GRANDIFLORA X",123949,240776.125,64,1
"ARBUTUS-RIDGE","GRANDIS",218129,143589.444444444,324,1
"ARBUTUS-RIDGE","GRISEUM",245914,180293.826923077,2704,1
"ARBUTUS-RIDGE","HETEROPHYLLA",456,132601.75,16,1
"ARBUTUS-RIDGE","HIPPOCASTANUM",256930,75441.16,15625,1
"ARBUTUS-RIDGE","HOLLANDICA   X",100663,68702.3,400,1
"ARBUTUS-RIDGE","INVOLUCRATA",0,187853,1,1
"ARBUTUS-RIDGE","JAPONICA",255773,114728.542857143,1225,2
"ARBUTUS-RIDGE","JAPONICUM",259686,204848.455445545,10201,2
"ARBUTUS-RIDGE","KOBUS",264095,143059.52739726,21316,2
"ARBUTUS-RIDGE","KOUSA",228996,175134.304347826,529,4
"ARBUTUS-RIDGE","LAVALLEI  X",233957,197986.45,400,1
"ARBUTUS-RIDGE","LAWSONIANA",136848,140553.714285714,196,2
"ARBUTUS-RIDGE","LILIIFLORA",18665,161147,9,1
"ARBUTUS-RIDGE","MAACKII",5,248694.5,36,1
"ARBUTUS-RIDGE","MACROCARPA",0,187805,1,1
"ARBUTUS-RIDGE","MACROPHYLLUM",167775,64539.8,100,1
"ARBUTUS-RIDGE","MENZIESII",254339,114425.909090909,484,1
"ARBUTUS-RIDGE","MERTENSIANA",0,21782,1,1
"ARBUTUS-RIDGE","MORDENSIS",159290,203145.810810811,1369,2
"ARBUTUS-RIDGE","NEGUNDO",165298,88007.5,16,1
"ARBUTUS-RIDGE","NIGRA",233297,117821.666666667,900,2
"ARBUTUS-RIDGE","NIGRUM",33065,190200.333333333,9,1
"ARBUTUS-RIDGE","NOOTKATENSIS",87347,118788.5,16,1
"ARBUTUS-RIDGE","NUTTALLII",166132,74278.3333333333,81,1
"ARBUTUS-RIDGE","OCCIDENTALIS",10,228232.75,16,1
"ARBUTUS-RIDGE","ORIENTALIS",0,142476,1,1
